weapon_sound_id,sound_name
35,pulse_pistol
48,tear
49,punch
50,rock
51,knife
52,throwing_knife
53,metal_rod
54,club
55,sledgehammer
56,spear
57,cattle_prod
64,machine_pistol
65,medium_pistol
66,small_pistol
67,laser_pistol
68,smg
69,heavy_pistol
70,plasma_pistol
71,sniper_rifle
72,assault_rifle
73,flamer
74,laser_rifle
75,plasma_rifle
76,minigun
77,gatling_laser
78,rocket_launcher
79,grenade_frag
80,grenade_plasma
81,grenade_pulse
82,shotgun
83,alien_blaster
85,bb_gun
86,zip_gun
87,gauss_rifle
88,pulse_rifle
89,gauss_pistol
90,needle_gun
